application_id,company_canonical,role_as_listed,date_applied,exposure_days,days_to_response_strict,days_to_response_broad,days_to_interview,role_lane,ats_system,month
inven-ai|unspecified|c1,Inven.ai,unspecified,2025-06-11,444,,,,unspecified,none_observed,2025-06
circle|gtm-engineer-outbound|c1,Circle,"GTM Engineer, Outbound",2025-06-20,435,,,,explicit_gtm_engineering,Greenhouse,2025-06
trace3|sdr|c1,Trace3,SDR,2025-06-25,430,0,0,,sales_bd_partnerships,Greenhouse,2025-06
runway|go-to-market-ai-engineer|c1,Runway,Go-To-Market AI Engineer,2025-06-26,429,,,,explicit_gtm_engineering,Ashby,2025-06
gigs|unspecified|c1,Gigs,unspecified,2025-06-30,425,,,,unspecified,Greenhouse,2025-06
galileo|growth-engineer|c1,Galileo,Growth Engineer,2025-07-02,423,,,,growth_demand_marketing,Rippling,2025-07
headway|growth-marketing-specialist|c1,Headway,Growth Marketing Specialist,2025-07-03,422,,,,growth_demand_marketing,Greenhouse,2025-07
applause|enterprise-sdr|c1,Applause,Enterprise SDR,2025-07-08,417,1,1,,sales_bd_partnerships,Workable,2025-07
designit|unspecified|c1,Designit,unspecified,2025-07-08,417,,,,unspecified,none_observed,2025-07
scaleops|sales-engineer-usa|c1,ScaleOps,"Sales Engineer, USA",2025-07-17,408,,,,sales_solutions_engineering,none_observed,2025-07
slingshot-ai|conversation-designer|c1,Slingshot AI,Conversation Designer,2025-07-25,400,,3,,product_ai_technical,none_observed,2025-07
exa|growth-lead|c1,Exa,Growth Lead,2025-07-25,400,,,,growth_demand_marketing,Lever,2025-07
inertia-growth|outbound-campaign-manager|c1,Inertia Growth,Outbound Campaign Manager,2025-07-26,399,4,4,,growth_demand_marketing,none_observed,2025-07
90-seconds|unspecified|c1,90 Seconds,unspecified,2025-07-27,398,,,,unspecified,Lever,2025-07
anaconda|senior-bdr|c1,Anaconda,Senior BDR,2025-07-27,398,26,26,,sales_bd_partnerships,Rippling,2025-07
gtp-software|revenue-enablement-manager|c1,GTP Software,Revenue Enablement Manager,2025-07-27,398,,5,,revops_gtm_ops_strategy,Rippling,2025-07
phiture|us-growth-lead-mobile-marketing-strategist|c1,Phiture,"US Growth Lead, Mobile Marketing Strategist",2025-07-27,398,,2,,growth_demand_marketing,none_observed,2025-07
replit|sales-engineer|c1,Replit,Sales Engineer,2025-07-27,398,,3,,sales_solutions_engineering,Ashby,2025-07
shaped|founding-sdr|c1,Shaped,Founding SDR,2025-07-27,398,,,,sales_bd_partnerships,Dover,2025-07
stedi|unspecified|c1,Stedi,unspecified,2025-07-27,398,,,,unspecified,Ashby,2025-07
volley|unspecified|c1,Volley,unspecified,2025-07-27,398,,,,unspecified,Greenhouse,2025-07
weave|business-development-manager|c1,Weave,Business Development Manager,2025-07-27,398,4,4,,sales_bd_partnerships,Greenhouse,2025-07
galileo|gtm-engineer|c1,Galileo,GTM Engineer,2025-07-28,397,,0,,explicit_gtm_engineering,Rippling,2025-07
hex|sdr|c1,Hex,SDR,2025-07-31,394,,,,sales_bd_partnerships,Greenhouse,2025-07
12100-collective|seo-lead|c1,12100 Collective,SEO Lead,2025-08-04,390,,,,growth_demand_marketing,none_observed,2025-08
4flow|director-go-to-market-strategy|c1,4flow,"Director, Go To Market Strategy",2025-08-04,390,,,,revops_gtm_ops_strategy,Workday,2025-08
airgarage|consumer-growth-hacker|c1,AirGarage,Consumer Growth Hacker,2025-08-04,390,,,,growth_demand_marketing,none_observed,2025-08
ava-labs|growth-lead-core|c1,Ava Labs,"Growth Lead, Core",2025-08-04,390,,10,,growth_demand_marketing,none_observed,2025-08
axon|manager-go-to-market-readiness|c1,Axon,"Manager, Go-to-Market Readiness",2025-08-04,390,,0,,revops_gtm_ops_strategy,none_observed,2025-08
fibr-ai|founding-sdr-ae|c1,Fibr AI,Founding SDR + AE,2025-08-04,390,,,,sales_bd_partnerships,none_observed,2025-08
infisical|founding-growth-marketer|c1,Infisical,Founding Growth Marketer,2025-08-04,390,,,,growth_demand_marketing,none_observed,2025-08
itc-infotech|manager-business-development|c1,ITC Infotech,"Manager, Business Development",2025-08-04,390,,,,sales_bd_partnerships,none_observed,2025-08
onboard|unspecified|c1,OnBoard,unspecified,2025-08-04,390,,,,unspecified,Greenhouse,2025-08
sage|director-of-growth-small|c1,Sage,"Director of Growth, Small",2025-08-04,390,30,30,,growth_demand_marketing,none_observed,2025-08
