company_normalized,in_workbook,in_repository_full_census,workbook_rows,workbook_categories,repository_register,repository_evidence_class,verdict
10xgenomics,yes,yes,1,Direct application / ATS,application,employer_artifact,both
12100collective,no,yes,0,,application,employer_artifact,repository_only
2x,yes,yes,1,LinkedIn application,application,platform_log,both
4flow,yes,yes,1,Direct application / ATS,application,employer_artifact,both
4minds,yes,yes,1,Direct application / ATS,application,employer_artifact,both
8x,no,yes,0,,application,platform_log,repository_only
90seconds,yes,yes,1,Jobright.ai application,application,employer_artifact,both
abacus,yes,no,1,LinkedIn application,,,workbook_only_application
adapt,no,yes,0,,application,employer_artifact,both_via_alias
adaptive6,yes,yes,1,LinkedIn application,application,employer_artifact,both
agroknow,yes,yes,1,Direct application / ATS,application,employer_artifact,both
aicro,yes,yes,1,LinkedIn application,application,platform_log,both
aidigital,no,yes,0,,application,employer_artifact,repository_only
ailytics,yes,yes,1,LinkedIn application,application,platform_log,both
airgarage,no,yes,0,,application,employer_artifact,repository_only
airops,yes,yes,1,Direct application / ATS,application,employer_artifact,both
airopsthecannonproject,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
airtable,yes,yes,1,Direct application / ATS,application,employer_artifact,both
ambient,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
ambrook,yes,yes,2,Direct application / ATS,application,employer_artifact,both
anaconda,yes,yes,1,Jobright.ai application,application,employer_artifact,both
anduril,yes,yes,1,Direct application / ATS,application,employer_artifact,both
anthropic,yes,yes,1,Direct application / ATS,application,employer_artifact,both
anyint,yes,no,1,LinkedIn application,,,workbook_only_application
anysphere,yes,yes,1,Direct application / ATS,application,employer_artifact,both
apartmentiq,yes,yes,1,Direct application / ATS,application,employer_artifact,both
apollo,yes,yes,1,Direct application / ATS,application,employer_artifact,both
appgate,yes,yes,1,LinkedIn application,application,employer_artifact,both
applause,yes,yes,1,LinkedIn application,application,employer_artifact,both
applied,yes,yes,1,Jobright.ai application,application,employer_artifact,both
aptean,yes,no,2,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
armada,yes,yes,1,LinkedIn application,application,employer_artifact,both
armanino,no,yes,0,,application,platform_log,repository_only
atlantapublicschools,yes,yes,1,Direct application / ATS,application,employer_artifact,both
attentive,yes,yes,2,Direct application / ATS; LinkedIn application,application,employer_artifact,both
auctane,yes,yes,1,LinkedIn application,application,employer_artifact,both
autodesk,yes,yes,1,Jobright.ai application,application,platform_log,both
autoleap,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
automationanywhere,yes,yes,1,Jobright.ai application,application,employer_artifact,both
avalabs,no,yes,0,,application,employer_artifact,repository_only
axiad,yes,yes,1,Direct application / ATS,application,employer_artifact,both
axon,yes,yes,2,Direct application / ATS; Jobright.ai application,application,platform_log,both
azul,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
baskhealth,yes,yes,1,LinkedIn application,application,platform_log,both
baton,yes,yes,1,LinkedIn application,application,platform_log,both
beacon,yes,yes,1,Direct application / ATS,application,employer_artifact,both
beautiful,yes,yes,1,Direct application / ATS,application,employer_artifact,both
beckhoffautomation,no,yes,0,,application,employer_artifact,repository_only
bestversionmedia,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
bitovi,yes,no,1,LinkedIn application,,,workbook_only_application
blackthorn,yes,yes,1,Direct application / ATS,application,employer_artifact,both
blocktackle,yes,yes,1,LinkedIn application,application,platform_log,both
bluejay,yes,no,1,Recruiter outbound / intermediary,,,workbook_only_opportunity
boulevard,yes,yes,1,Direct application / ATS,application,employer_artifact,both
brainfish,yes,no,1,LinkedIn application,,,workbook_only_application
brand,yes,yes,1,Community-sourced,application,employer_artifact,both
brighthire,yes,yes,1,Direct application / ATS,application,employer_artifact,both
builtrecruiting,no,yes,0,,application,employer_artifact,repository_only
bxstud,yes,no,1,LinkedIn application,,,workbook_only_application
canals,yes,yes,1,Jobright.ai application,application,employer_artifact,both
capitallinguists,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
casperstudios,yes,yes,1,LinkedIn application,application,platform_log,both
cincinnatusviamercor,yes,no,1,Referral,,,workbook_only_opportunity
circle,yes,yes,1,Direct application / ATS,application,employer_artifact,both
cityschoolsofdecatur,yes,yes,1,Direct application / ATS,application,employer_artifact,both
classdojo,yes,yes,1,Direct application / ATS,application,employer_artifact,both
classet,no,yes,0,,application,employer_artifact,repository_only
claudomat,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
clay,yes,yes,1,Jobright.ai application,application,employer_artifact,both
clipboardeducation,yes,no,1,Recruiter outbound / intermediary,,,workbook_only_opportunity
closedwontalent,yes,no,1,LinkedIn application,,,workbook_only_application
cloudflare,yes,yes,1,Direct application / ATS,application,employer_artifact,both
clutch,yes,yes,1,Direct application / ATS,application,employer_artifact,both
colab,yes,yes,2,Direct application / ATS; Jobright.ai application,application,employer_artifact,both
colossus,yes,no,1,LinkedIn application,,,workbook_only_application
company,yes,yes,1,LinkedIn application,application,platform_log,both
companycam,yes,yes,1,Direct application / ATS,application,employer_artifact,both
confido,yes,yes,1,Direct application / ATS,application,employer_artifact,both
conversion,yes,yes,1,Direct application / ATS,application,employer_artifact,both
coverwatch,yes,yes,1,LinkedIn application,application,platform_log,both
crashoverride,yes,yes,1,LinkedIn application,application,platform_log,both
cresta,yes,yes,1,Direct application / ATS,application,employer_artifact,both
crmit,yes,yes,1,LinkedIn application,application,platform_log,both
crossinghurdles,yes,yes,1,LinkedIn application,application,platform_log,both
crypto,yes,yes,1,Direct application / ATS,application,employer_artifact,both
cyft,yes,no,1,LinkedIn cold outreach,,,workbook_only_opportunity
dagster,yes,yes,1,Direct application / ATS,application,employer_artifact,both
databar,yes,yes,2,LinkedIn application,application,platform_log,both
datricks,yes,no,1,LinkedIn application,,,workbook_only_application
dbeaver,yes,yes,1,Jobright.ai application,application,employer_artifact,both
deepgram,yes,yes,1,Jobright.ai application,application,employer_artifact,both
dekalbcountyschooldistrict,no,yes,0,,application,employer_artifact,repository_only
designit,yes,yes,1,Direct application / ATS,application,employer_artifact,both
devsignal,yes,yes,1,LinkedIn application,application,platform_log,both
disqo,yes,yes,1,LinkedIn application,application,employer_artifact,both
doomers,yes,yes,1,LinkedIn application,application,platform_log,both
douglascountyschoolsystem,yes,yes,1,Direct application / ATS,application,employer_artifact,both
drata,yes,yes,1,Direct application / ATS,application,employer_artifact,both
dripshop,yes,yes,1,LinkedIn application,application,platform_log,both
duckbill,yes,yes,1,LinkedIn application,application,platform_log,both
durhamgeoslopeindicatordgsi,yes,yes,2,LinkedIn application,application,platform_log,both
elios,yes,yes,1,LinkedIn application,application,platform_log,both
enlacehealth,yes,yes,1,Jobright.ai application,application,employer_artifact,both
entelligence,yes,yes,1,LinkedIn application,application,platform_log,both
evenup,yes,yes,1,Direct application / ATS,application,employer_artifact,both
every,yes,yes,1,Direct application / ATS,application,employer_artifact,both
evolutionusa,yes,yes,1,LinkedIn application,application,platform_log,both
exa,no,yes,0,,application,employer_artifact,repository_only
exalabs,yes,no,1,Direct application / ATS,,,workbook_only_application
fibr,no,yes,0,,application,employer_artifact,repository_only
firstup,no,yes,0,,application,employer_artifact,repository_only
fixify,yes,yes,2,Direct application / ATS,application,employer_artifact,both
flexbone,yes,yes,1,LinkedIn application,application,platform_log,both
fossa,yes,yes,2,Direct application / ATS; Jobright.ai application,application,employer_artifact,both
foursquare,yes,yes,1,Jobright.ai application,application,employer_artifact,both
fractionaldemand,yes,yes,2,LinkedIn application,application,platform_log,both
franklinfitch,yes,yes,1,LinkedIn application,application,platform_log,both
freshtix,yes,yes,1,Jobright.ai application,application,platform_log,both
fullsteam,no,yes,0,,application,employer_artifact,repository_only
g2,yes,yes,1,Direct application / ATS,application,employer_artifact,both
galileo,yes,yes,2,Direct application / ATS,application,employer_artifact,both
gather,yes,yes,1,Direct application / ATS,application,employer_artifact,both
gatherup,yes,yes,1,Direct application / ATS,application,employer_artifact,both
gigs,yes,yes,1,LinkedIn application,application,employer_artifact,both
gitlab,yes,yes,1,Direct application / ATS,application,employer_artifact,both
glean,yes,yes,1,Direct application / ATS,application,employer_artifact,both
globalfinancialimpact,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
glytec,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
gradient,yes,yes,1,LinkedIn cold outreach,application,employer_artifact,both
greatquestion,yes,yes,1,Direct application / ATS,application,employer_artifact,both
greenwaycollins,yes,yes,1,LinkedIn application,application,platform_log,both
gridbank,yes,yes,1,LinkedIn application,application,platform_log,both
gtpsoftware,yes,yes,1,Direct application / ATS,application,employer_artifact,both
handshake,yes,yes,1,Direct application / ATS,application,employer_artifact,both
handshakeaifellowship,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
hartfielautomation,yes,yes,1,LinkedIn application,application,platform_log,both
hartley,yes,yes,1,LinkedIn application,application,employer_artifact,both
headway,yes,yes,1,Direct application / ATS,application,employer_artifact,both
hermetic,yes,yes,1,LinkedIn application,application,platform_log,both
hex,yes,yes,1,Direct application / ATS,application,employer_artifact,both
higgsfield,yes,yes,1,Direct application / ATS,application,employer_artifact,both
hightouch,yes,yes,2,Direct application / ATS,application,employer_artifact,both
hippocratic,yes,yes,1,LinkedIn application,application,platform_log,both
hologram,yes,yes,1,Direct application / ATS,application,employer_artifact,both
horizonaitalent,yes,yes,1,LinkedIn application,application,platform_log,both
hud,yes,yes,1,Direct application / ATS,application,employer_artifact,both
humandelta,yes,yes,1,LinkedIn application,application,platform_log,both
huzzle,yes,yes,1,LinkedIn application,application,employer_artifact,both
hyperbound,yes,yes,1,Direct application / ATS,application,employer_artifact,both
hypergen,yes,yes,1,Direct application / ATS,application,employer_artifact,both
ibm,yes,yes,2,Direct application / ATS; LinkedIn recruiter/person outreach,application,employer_artifact,both
inertiagrowth,yes,yes,1,Cold outreach I initiated,application,employer_artifact,both
infisical,no,yes,0,,application,employer_artifact,repository_only
inrule,yes,yes,1,Direct application / ATS,application,employer_artifact,both
insigniaassets,yes,no,1,LinkedIn application,,,workbook_only_application
insigniacollab,no,yes,0,,application,employer_artifact,repository_only
intellipro,yes,yes,1,LinkedIn application,application,platform_log,both
inven,no,yes,0,,application,employer_artifact,repository_only
inworld,yes,yes,1,LinkedIn application,application,platform_log,both
itcinfotech,yes,yes,1,Direct application / ATS,application,employer_artifact,both
jetbridge,yes,no,2,LinkedIn application,,,workbook_only_application
jobgether,yes,yes,1,LinkedIn application,application,employer_artifact,both
