company,type,source_logs,in_247_ledger,note
AppliTrack,ATS,,,
Ashby,ATS,,,
Breezy HR,ATS,,,
Ceipal,ATS,,,
ChiliPiper,ATS,,,
Dover,ATS,,,
Frontline Education,ATS,,,
Gem,ATS,,,
Greenhouse,ATS,,,
Hirebridge,ATS,,,
iCIMS,ATS,,,
Jobvite,ATS,,,
Newton Software,ATS,,,
Paycom,ATS,,,
Recruitee,ATS,,,
Spark Hire,ATS,,,
Teamtailor,ATS,,,
Workable,ATS,,,
10x Genomics,EMP,001-013,,
12100 Collective,EMP,001-013,,
4flow,EMP,001-013,,
4MindsAI,EMP,001-013,,
90 Seconds,EMP,001-013,,
Adapt,EMP,001-013,,
Adaptive6,EMP,001-013,,
Agroknow,EMP,001-013,,
AI Digital,EMP,001-013,,
AICRO,EMP,014-034,,
AirGarage,EMP,001-013,,
AirOps,EMP,001-013,,
Airtable,EMP,001-013,,
Ambrook,EMP,001-013,,
Anaconda,EMP,001-013,,
Anduril Industries,EMP,001-013,,
Anthropic,EMP,001-013,,
AnyInt AI,EMP,001-013,,
ApartmentIQ,EMP,001-013,,
Apollo.io,EMP,001-013,,
AppGate,EMP,001-013,,
Applause,EMP,001-013,,
Applied Systems,EMP,001-013,,
Armada,EMP,001-013,,
Atlanta Public Schools,EMP,001-013,,
Attentive,EMP,001-013,,
Auctane,EMP,001-013,,
Automation Anywhere,EMP,001-013,,
Ava Labs,EMP,001-013,,
Axiad,EMP,001-013,,
Axon,EMP,001-013,,
Bask Health,EMP,014-034,,
Beacon Software,EMP,001-013,,
Beautiful.ai,EMP,001-013,,
Beckhoff Automation,EMP,001-013,,
Blackthorn.io,EMP,001-013,,
Bluejay,EMP,014-034,,
Boulevard,EMP,001-013,,
brand.ai,EMP,001-013,,
BrightHire,EMP,001-013,,
BX Studio,EMP,014-034,,
Canals,EMP,001-013,,
Celonis,EMP,001-013,,
Cincinnatus,EMP,001-013,,
Circle,EMP,001-013,,
City Schools of Decatur,EMP,001-013,,
ClassDojo,EMP,001-013,,
Classet,EMP,001-013,,
Clay,EMP,001-013,,
Cloudflare,EMP,001-013,,
Clutch,EMP,001-013,,
CoLab Software,EMP,001-013,,
CompanyCam,EMP,001-013,,
Confido,EMP,001-013,,
Conversion,EMP,001-013,,
Cresta,EMP,001-013,,
Crypto.com,EMP,001-013,,
Cursor,EMP,001-013,,
Cyft,EMP,014-034,,
Dagster Labs,EMP,001-013,,
DBeaver,EMP,001-013,,
Deepgram,EMP,001-013,,
DeKalb County School District,EMP,001-013,,
Designit,EMP,001-013,,
Disco,EMP,014-034,,
DISQO,EMP,001-013,,
Douglas County School System,EMP,001-013,,
Drata,EMP,001-013,,
Enlace Health,EMP,001-013,,
EvenUp,EMP,001-013,,
Every,EMP,014-034,,
Exa,EMP,"002,020,024",,was also listed as 'Exa Labs Inc.' in log 002 — merged
Fibr AI,EMP,001-013,,
Firstup,EMP,001-013,,
Fixify,EMP,001-013,,
FOSSA,EMP,001-013,,
Foursquare,EMP,001-013,,
Fullsteam,EMP,001-013,,
G2,EMP,001-013,,
Galileo,EMP,001-013,,
Gather AI,EMP,001-013,,
GatherUp,EMP,001-013,,
Gigs,EMP,001-013,,
GitLab,EMP,001-013,,
Glean,EMP,001-013,,
Glytec,EMP,014-034,,
Gong.io,EMP,001-013,,
Gradient Labs,EMP,001-013,,
graph.one,EMP,001-013,,
Great Question,EMP,001-013,,
GTP Software,EMP,001-013,,
Gwinnett County Public Schools,EMP,001-013,,
Handshake,EMP,001-013,,
Headway,EMP,001-013,,
Hex,EMP,001-013,,
Higgsfield,EMP,001-013,,
Hightouch,EMP,001-013,,
Hologram,EMP,001-013,,
Hotglue,EMP,043-045 (calendar),,"surfaced by the calendar re-sweep, not by the Gmail logs"
HUD,EMP,001-013,,
Hyperbound,EMP,001-013,,
Hypergen,EMP,001-013,,
IBM,EMP,001-013,,
Inertia Growth,EMP,014-034,,
Infisical,EMP,001-013,,
InRule Technology,EMP,001-013,,
Insignia Collab,EMP,014-034,,
Inven.ai,EMP,014-034,,
ITC Infotech,EMP,001-013,,
LangChain,EMP,001-013,,
Lattice,EMP,001-013,,
Leidos Systems,EMP,001-013,,
Liatrio,EMP,001-013,,
Linear,EMP,001-013,,
Listen Labs,EMP,001-013,,
LiveKit,EMP,001-013,,
Lorikeet,EMP,001-013,,
Lumenalta,EMP,001-013,,
Manifold,EMP,001-013,,
MediaLab.AI,EMP,001-013,,
Mento,EMP,001-013,,
Meshy,EMP,001-013,,
MinIO,EMP,001-013,,
Montauk Capital,EMP,001-013,,
MxP.studio,EMP,014-034,,
Nebius,EMP,001-013,,
Nero,EMP,014-034,,
New Relic,EMP,001-013,,
NICE,EMP,001-013,,
Nooks,EMP,001-013,,
OnBoard,EMP,001-013,,
Onit,EMP,001-013,,
Ontra,EMP,001-013,,
OpenObserve,EMP,001-013,,
Opsin Security,EMP,047,,"interview with founder James Pham, 2026-03-13. Recruiter-facilitated, register=opportunity"
Orchestry,EMP,001-013,,
Owner.com,EMP,001-013,,
OXOS Medical,EMP,001-013,,
PandaDoc,EMP,001-013,,
Patch,EMP,001-013,,
Payabli,EMP,001-013,,
Pearl,EMP,001-013,,
Phiture,EMP,001-013,,
PhrasIQ,EMP,001-013,,
Pin,EMP,014-034,,
Pindrop,EMP,001-013,,
Pinterest,EMP,001-013,,
Pogo Technologies,EMP,001-013,,
Polcy Chemex,EMP,001-013,,
Practical Prospecting,EMP,014-034,,
Primer,EMP,001-013,,
Productboard,EMP,001-013,,
Proofpoint,EMP,001-013,,
proteanTecs,EMP,001-013,,
Protecht,EMP,001-013,,
Redis,EMP,001-013,,
Renoir,EMP,043-045 (calendar),,"surfaced by the calendar re-sweep, not by the Gmail logs"
Replit,EMP,001-013,,
Revcentric.ai,EMP,014-034,,
Revic,EMP,001-013,,
RevPartners,EMP,001-013,,
RevSpring,EMP,001-013,,
Rippling,EMP,001-013,,
Roboflow,EMP,001-013,,
Rollstack,EMP,001-013,,
Rula,EMP,001-013,,
Runway,EMP,001-013,,
Sage,EMP,001-013,,
SailPoint,EMP,001-013,,
Sardine,EMP,001-013,,
Saveurdays,EMP,001-013,,
SBGA,EMP,001-013,,
ScaleOps,EMP,001-013,,
Scribe,EMP,001-013,,
Seamless.AI,EMP,001-013,,
SentiLink,EMP,001-013,,
ServiceTrade,EMP,001-013,,
Shaped,EMP,001-013,,
Slingshot AI,EMP,001-013,,
SmartMode AI,EMP,001-013,,
Smeetz,EMP,001-013,,
Solv Health,EMP,001-013,,
Speechify,EMP,001-013,,
Spider Cloud,EMP,014-034,,
Spot AI,EMP,001-013,,
StackAI,EMP,001-013,,
Starbridge,EMP,014-034,,
Stedi,EMP,001-013,,
Stellar,EMP,001-013,,
Sur,EMP,001-013,,
Switchyards,EMP,001-013,,
Syncro,EMP,001-013,,
Tapcheck,EMP,001-013,,
Tekion,EMP,001-013,,
Teleport,EMP,001-013,,
Telnyx,EMP,001-013,,
TestGorilla,EMP,001-013,,
The Hog,EMP,014-034,,
Thomson Reuters,EMP,001-013,,
ThriveLink Healthcare,EMP,014-034,,
Tiger Data,EMP,001-013,,
Toast,EMP,001-013,,
Together AI,EMP,001-013,,
Trace3,EMP,001-013,,
TRACTIAN,EMP,001-013,,
Trase,EMP,001-013,,
Tripleseat,EMP,001-013,,
Uncapped,EMP,001-013,,
Unframe,EMP,001-013,,
Unstructured,EMP,001-013,,
UpGuard,EMP,001-013,,
Valsoft,EMP,001-013,,
Vercel,EMP,001-013,,
Verkada,EMP,001-013,,
Virtru,EMP,001-013,,
VitalSource,EMP,001-013,,
Volley,EMP,001-013,,
Vonage,EMP,001-013,,
WallStreetQuants,EMP,001-013,,
Wealth.com,EMP,001-013,,
Weave,EMP,001-013,,
WireScreen,EMP,001-013,,
WorkOS,EMP,014-034,,
Wrapbook,EMP,001-013,,
Yuno,EMP,001-013,,
BCOFA,ENG,,,
Kivira.health,ENG,,,
Mixmax,ENG,,,
Mobb.ai,ENG,,,
Morph Data Strategies,ENG,,,
Common Room,EXC,,,
Google (via getcrate),EXC,,,
gtm-engineering.io,EXC,,,
Luzmo,EXC,,,
Nomi.ai,EXC,,,
OpenAI (via getcrate),EXC,,,
Podium,EXC,,,
Umicas ATS / getcrate.app,EXC,,,
Apply4Me / TheLadders,INT,,,
Built Recruiting,INT,,,
Certn,INT,,,
Colossus Technology Group,INT,047,,"recruiting firm, colossustg.com. Facilitated Opsin. LI-034 is an application to a Colossus posting"
Crossing Hurdles,INT,,,
Dexian,INT,,,
Good Seed Consulting,INT,,,
HartleyCo,INT,,,
Huzzle,INT,,,
Jobgether,INT,,,
jobmail.io,INT,,,
Jobright.ai,INT,,,
Mercor,INT,,,
Method Recruiting,INT,,,
micro1,INT,,,
Talentpluto,INT,,,
TopHire,INT,,,
Wellfound,INT,,,
WilsonHCG,INT,,,
ZipRecruiter,INT,,,
