linkedin_row_id,date_applied,date_precision,company_as_listed,role_as_listed,job_url,resume_name,discovery_source,submission_channel,evidence_tier,evidence_class,register,dedupe_status
LI-001,2025-06-14 07:31,exact,Databar.ai,GTM Engineer (Growth & Sales),http://www.linkedin.com/jobs/view/4233227991,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-002,2025-06-20 04:07,exact,Datricks,Sales Engineer - US (Remote),http://www.linkedin.com/jobs/view/4251747717,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-003,2025-06-30 15:51,exact,Bitovi,AI Enablement Engineer,http://www.linkedin.com/jobs/view/4248506953,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-004,2025-06-30 16:20,exact,Gigs,Solutions Engineer,http://www.linkedin.com/jobs/view/4256302106,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-005,2025-06-30 16:21,exact,ScoutLab.io,"Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only",http://www.linkedin.com/jobs/view/4259485146,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-006,2025-07-03 04:54,exact,JetBridge AI,Sr. SDR for Profitable AI Startup,http://www.linkedin.com/jobs/view/4253955472,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-007,2025-07-07 15:48,exact,Abacus.AI,Senior Sales Development Representative,http://www.linkedin.com/jobs/view/4248933333,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-008,2025-07-07 15:48,exact,JetBridge AI,Sr. SDR for Profitable AI Startup,http://www.linkedin.com/jobs/view/4263460747,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-009,2025-07-07 15:52,exact,Brainfish,Sales Development Representative (SDR) – Dive into AI with Brainfish!,http://www.linkedin.com/jobs/view/4258745247,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-010,2025-07-07 21:34,exact,Applause,Enterprise SDR,http://www.linkedin.com/jobs/view/4226839920,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-011,2025-07-08 09:31,exact,ClosedWon Talent,Founding Account Executive,http://www.linkedin.com/jobs/view/4264156893,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-012,2025-07-09 17:32,exact,SWARM,Sales Engineer,http://www.linkedin.com/jobs/view/4262182906,KMOODY2025GTME.pdf.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-013,2025-08-04 04:26,exact,proteanTecs,Sales Development Representative,http://www.linkedin.com/jobs/view/4279583412,KEEGAN MOODY_Sales Development Representative_20250804.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
