application_id,company_canonical,discovery_source_coded,discovery_source_recalled,discovery_source_resolved,basis,conflict,root_venue,interviewed
every-to|gtm-engineer|c1,Every.to,unknown,gtm_cafe_slack,gtm_cafe_slack,author_recall,no,gtm_engineering_school,yes
great-question|senior-demand-generation-manager|c1,Great Question,unknown,gtm_cafe_slack,gtm_cafe_slack,author_recall,no,gtm_engineering_school,yes
pearl|lead-gtm-engineer|c1,Pearl,unknown,gtm_cafe_slack,gtm_cafe_slack,author_recall,no,gtm_engineering_school,yes
jobright-ai|product-manager-early-career|c1,Jobright.ai,jobright,,jobright,coded_artifact,no,jobright,no
ai-digital|growth-director|c1,AI Digital,ladders,,ladders,coded_artifact,no,ladders,no
firstup|manager-gtm-systems|c1,Firstup,ladders,,ladders,coded_artifact,no,ladders,no
lattice|gtm-engineer|c1,Lattice,ladders,,ladders,coded_artifact,no,ladders,no
mercor|b2b-sales-expert|c1,Mercor,unknown,platform_internal_board,platform_internal_board,author_recall,no,platform_internal_board,no
mercor|education-school-evaluator|c1,Mercor,unknown,platform_internal_board,platform_internal_board,author_recall,no,platform_internal_board,no
mercor|general-sales-gtm-evaluator|c1,Mercor,unknown,platform_internal_board,platform_internal_board,author_recall,no,platform_internal_board,no
mercor|sales-and-marketing-expert|c1,Mercor,unknown,platform_internal_board,platform_internal_board,author_recall,no,platform_internal_board,no
mercor|sales-engineering-expert|c1,Mercor,unknown,platform_internal_board,platform_internal_board,author_recall,no,platform_internal_board,no
hartleyco|founding-gtm|c1,HartleyCo,recruiter_inbound,recruiter_inbound,recruiter_inbound,coded_artifact,no,recruiter_inbound,yes
revspring|lead-agentic-operations-gtm-engineering|c1,RevSpring,recruiter_inbound,,recruiter_inbound,coded_artifact,no,recruiter_inbound,no
mercor|biology-biophysics-research-collaborator|c1,Mercor,referral,platform_internal_board,referral,coded_artifact,yes,referral,no
pinterest|apprentice-engineer|c1,Pinterest,referral,,referral,coded_artifact,no,referral,no
10x-genomics|unspecified|c1,10x Genomics,unknown,,unknown,none,no,unknown,no
4flow|director-go-to-market-strategy|c1,4flow,unknown,,unknown,none,no,unknown,no
4mindsai|gtm-engineer|c1,4MindsAI,unknown,,unknown,none,no,unknown,no
90-seconds|unspecified|c1,90 Seconds,unknown,,unknown,none,no,unknown,no
adaptive6|sales-engineer|c1,Adaptive6,unknown,,unknown,none,no,unknown,no
adapt|gtm-engineer-revops-lead|c1,Adapt,unknown,,unknown,none,no,unknown,no
agroknow|north-america-sales|c1,Agroknow,unknown,,unknown,none,no,unknown,no
aicro|gtm-engineering-team-lead|c1,AICRO,unknown,,unknown,none,no,unknown,no
airops|growth-engineer|c1,AirOps,unknown,,unknown,none,no,unknown,no
airtable|gtm-engineer|c1,Airtable,unknown,,unknown,none,no,unknown,no
ambrook|business-operations-lead|c1,Ambrook,unknown,,unknown,none,no,unknown,no
ambrook|partnerships-lead|c1,Ambrook,unknown,,unknown,none,no,unknown,no
anaconda|senior-bdr|c1,Anaconda,unknown,,unknown,none,no,unknown,no
anduril-industries|technical-operations-engineer-launched-effects|c1,Anduril Industries,unknown,,unknown,none,no,unknown,no
anthropic|software-engineer-business-technology|c1,Anthropic,unknown,,unknown,none,no,unknown,no
anysphere|gtm-emerging-products|c1,Anysphere,unknown,,unknown,none,no,unknown,no
apartmentiq|unspecified|c1,ApartmentIQ,unknown,,unknown,none,no,unknown,no
apollo-io|unspecified|c1,Apollo.io,unknown,,unknown,none,no,unknown,no
appgate|gtm-engineer|c1,AppGate,unknown,,unknown,none,no,unknown,no
applause|enterprise-sdr|c1,Applause,unknown,,unknown,none,no,unknown,no
applied-systems|sales-enablement-gtm-readiness-lead|c1,Applied Systems,unknown,,unknown,none,no,unknown,no
armada|ai-factory-value-engineer|c1,Armada,unknown,,unknown,none,no,unknown,no
atlanta-public-schools|unspecified|c1,Atlanta Public Schools,unknown,,unknown,none,no,unknown,no
attentive|gtm-engineer|c1,Attentive,unknown,,unknown,none,no,unknown,no
attentive|gtm-engineer|c2,Attentive,unknown,,unknown,none,no,unknown,no
auctane|pre-sales-engineer|c1,Auctane,unknown,,unknown,none,no,unknown,no
automation-anywhere|sales-engineer|c1,Automation Anywhere,unknown,,unknown,none,no,unknown,no
axiad|unspecified|c1,Axiad,unknown,,unknown,none,no,unknown,no
axon|manager-go-to-market-readiness|c1,Axon,unknown,,unknown,none,no,unknown,no
beacon-software|unspecified|c1,Beacon Software,unknown,,unknown,none,no,unknown,no
beautiful-ai|unspecified|c1,Beautiful.ai,unknown,,unknown,none,no,unknown,yes
beckhoff-automation|sales-engineer|c1,Beckhoff Automation,unknown,,unknown,none,no,unknown,no
blackthorn-io|unspecified|c1,Blackthorn.io,unknown,,unknown,none,no,unknown,no
boulevard|gtm-engineer|c1,Boulevard,unknown,,unknown,none,no,unknown,no
brand-ai|gtme|c1,Brand.ai,unknown,,unknown,none,no,unknown,no
brighthire|unspecified|c1,BrightHire,unknown,,unknown,none,no,unknown,no
built-recruiting|gtm-engineer|c1,Built Recruiting,unknown,,unknown,none,no,unknown,no
bx-studio|unspecified|c1,BX Studio,unknown,,unknown,none,no,unknown,no
canals|sales-manager|c1,Canals,unknown,,unknown,none,no,unknown,no
circle|gtm-engineer-outbound|c1,Circle,unknown,,unknown,none,no,unknown,no
city-schools-of-decatur|unspecified|c1,City Schools Of Decatur,unknown,,unknown,none,no,unknown,no
classdojo|unspecified|c1,ClassDojo,unknown,,unknown,none,no,unknown,no
clay|growth-strategist-enterprise|c1,Clay,unknown,,unknown,none,no,unknown,no
cloudflare|gtm-engineer|c1,Cloudflare,unknown,,unknown,none,no,unknown,no
clutch|gtm-engineer|c1,Clutch,unknown,,unknown,none,no,unknown,no
colab-software|sales-engineer|c1,CoLab Software,unknown,,unknown,none,no,unknown,no
companycam|gtm-systems-engineer|c1,CompanyCam,unknown,,unknown,none,no,unknown,no
confido|founding-gtm-engineer|c1,Confido,unknown,,unknown,none,no,unknown,no
conversion|gtm-engineer|c1,Conversion,unknown,,unknown,none,no,unknown,no
cresta|gtm-engineer|c1,Cresta,unknown,,unknown,none,no,unknown,no
crypto-com|product-growth-hacker-exchange-main-app|c1,Crypto.com,unknown,,unknown,none,no,unknown,no
dagster-labs|gtm-engineer|c1,Dagster Labs,unknown,,unknown,none,no,unknown,yes
dbeaver|gtm-engineer|c1,DBeaver,unknown,,unknown,none,no,unknown,no
deepgram|gtm-engineer|c1,Deepgram,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-1-elementary-star-substitute-ashford-park-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-3-elementary-star-substitute-canby-lane-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-3-elementary-star-substitute-cedar-grove-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-3-elementary-star-substitute-chapel-hill-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-3-elementary-star-substitute-murphey-candler-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-3-elementary-star-substitute-rowland-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-4-elementary-substitute-star-browns-mill-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|area-high-school-star-substitute-columbia-hs|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|horizon-area-substitute-star-flat-rock-es|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
dekalb-county-school-district|specialty-area-star-substitute-margaret-harris-comprehensive|c1,DeKalb County School District,unknown,,unknown,none,no,unknown,no
designit|unspecified|c1,Designit,unknown,,unknown,none,no,unknown,no
disqo|gtm-engineer|c1,DISQO,unknown,,unknown,none,no,unknown,no
douglas-county-school-system|unspecified|c1,Douglas County School System,unknown,,unknown,none,no,unknown,no
drata|sdr-remote|c1,Drata,unknown,,unknown,none,no,unknown,no
enlace-health|sales-engineer|c1,Enlace Health,unknown,,unknown,none,no,unknown,no
evenup|ai-adoption-manager-southeast|c1,EvenUp,unknown,,unknown,none,no,unknown,no
exa|growth-lead|c1,Exa,unknown,,unknown,none,no,unknown,no
fixify|gtm-engineer-contract|c1,Fixify,unknown,,unknown,none,no,unknown,no
fossa|unspecified|c1,FOSSA,unknown,,unknown,none,no,unknown,no
fossa|unspecified|c2,FOSSA,unknown,,unknown,none,no,unknown,no
foursquare|ae-new-business|c1,Foursquare,unknown,,unknown,none,no,unknown,no
fullsteam|senior-sales-development-representative|c1,Fullsteam,unknown,,unknown,none,no,unknown,no
g2|gtm-engineer|c1,G2,unknown,,unknown,none,no,unknown,no
galileo|growth-engineer|c1,Galileo,unknown,,unknown,none,no,unknown,no
galileo|gtm-engineer|c1,Galileo,unknown,,unknown,none,no,unknown,no
gather-ai|gtm-engineer|c1,Gather AI,unknown,,unknown,none,no,unknown,no
gatherup|unspecified|c1,GatherUp,unknown,,unknown,none,no,unknown,no
gigs|unspecified|c1,Gigs,unknown,,unknown,none,no,unknown,no
gitlab|gtm-planning-operations-analyst|c1,GitLab,unknown,,unknown,none,no,unknown,no
glean|gtm-engineer-marketing|c1,Glean,unknown,,unknown,none,no,unknown,no
gradient-labs|gtm-engineer|c1,Gradient Labs,unknown,,unknown,none,no,unknown,no
gtp-software|revenue-enablement-manager|c1,GTP Software,unknown,,unknown,none,no,unknown,no
handshake|gtm-engineer|c1,Handshake,unknown,,unknown,none,no,unknown,no
headway|growth-marketing-specialist|c1,Headway,unknown,,unknown,none,no,unknown,no
hex|sdr|c1,Hex,unknown,,unknown,none,no,unknown,no
higgsfield|gtm-engineer|c1,Higgsfield,unknown,,unknown,none,no,unknown,no
hightouch|go-to-market-engineer|c1,Hightouch,unknown,,unknown,none,no,unknown,no
hologram|gtm-engineer-pre-sales|c1,Hologram,unknown,,unknown,none,no,unknown,yes
hud|gtm-engineer|c1,HUD,unknown,,unknown,none,no,unknown,no
huzzle|gtm-engineer|c1,Huzzle,unknown,,unknown,none,no,unknown,no
hyperbound|founding-revops-lead|c1,Hyperbound,unknown,,unknown,none,no,unknown,no
hypergen|gtm-engineer|c1,Hypergen,unknown,,unknown,none,no,unknown,no
ibm|manager-applied-ai-gtm-systems|c1,IBM,unknown,,unknown,none,no,unknown,no
inertia-growth|outbound-campaign-manager|c1,Inertia Growth,unknown,,unknown,none,no,unknown,no
inrule-technology|unspecified|c1,InRule Technology,unknown,,unknown,none,no,unknown,no
insignia-collab|unspecified|c1,Insignia Collab,unknown,,unknown,none,no,unknown,no
inven-ai|unspecified|c1,Inven.ai,unknown,,unknown,none,no,unknown,no
itc-infotech|manager-business-development|c1,ITC Infotech,unknown,,unknown,none,no,unknown,no
