stratum,field,raw_value,normalized_channel,channel_family,origin_is_known,n,share_of_stratum,n_outcome_observable,n_interviewed
application_census_223,discovery_source,unknown,unknown,unknown,no,208,0.9327,208,11
application_census_223,discovery_source,wellfound,wellfound,talent_marketplace,yes,7,0.0314,7,1
application_census_223,discovery_source,ladders,ladders,job_board,yes,3,0.0135,3,0
application_census_223,discovery_source,recruiter_inbound,recruiter_inbound,recruiter_inbound,yes,2,0.0090,2,2
application_census_223,discovery_source,referral,referral,network_warm_intro,yes,2,0.0090,2,0
application_census_223,discovery_source,jobright,jobright,agent_platform,yes,1,0.0045,1,0
application_census_223,submission_channel,ats_direct,employer_ats,employer_direct,yes,184,0.8251,184,9
application_census_223,submission_channel,email_direct,email_direct,employer_direct,yes,10,0.0448,10,0
application_census_223,submission_channel,unknown,unknown,unknown,no,10,0.0448,10,3
application_census_223,submission_channel,wellfound_apply,wellfound_apply,talent_marketplace,yes,7,0.0314,7,1
application_census_223,submission_channel,marketplace_profile_submission,marketplace_profile,talent_marketplace,yes,6,0.0269,6,0
application_census_223,submission_channel,apply4me_agent,apply4me_agent,agent_platform,yes,3,0.0135,3,0
application_census_223,submission_channel,recruiter_submitted,recruiter_submitted,recruiter_inbound,yes,3,0.0135,3,1
application_census_223,evidence_class,employer_artifact,employer_artifact,employer_side_proof,yes,222,0.9955,222,14
application_census_223,evidence_class,platform_log,platform_log,self_logged,yes,1,0.0045,1,0
full_census_317,discovery_source,unknown,unknown,unknown,no,208,0.6562,208,11
full_census_317,discovery_source,linkedin,linkedin,professional_network,yes,88,0.2776,0,0
full_census_317,discovery_source,jobright,jobright,agent_platform,yes,7,0.0221,1,0
full_census_317,discovery_source,wellfound,wellfound,talent_marketplace,yes,7,0.0221,7,1
full_census_317,discovery_source,ladders,ladders,job_board,yes,3,0.0095,3,0
full_census_317,discovery_source,recruiter_inbound,recruiter_inbound,recruiter_inbound,yes,2,0.0063,2,2
full_census_317,discovery_source,referral,referral,network_warm_intro,yes,2,0.0063,2,0
full_census_317,submission_channel,ats_direct,employer_ats,employer_direct,yes,184,0.5804,184,9
full_census_317,submission_channel,unknown,unknown,unknown,no,99,0.3123,10,3
full_census_317,submission_channel,email_direct,email_direct,employer_direct,yes,10,0.0315,10,0
full_census_317,submission_channel,wellfound_apply,wellfound_apply,talent_marketplace,yes,7,0.0221,7,1
full_census_317,submission_channel,marketplace_profile_submission,marketplace_profile,talent_marketplace,yes,6,0.0189,6,0
full_census_317,submission_channel,jobright_agent,jobright_agent,agent_platform,yes,5,0.0158,0,0
full_census_317,submission_channel,apply4me_agent,apply4me_agent,agent_platform,yes,3,0.0095,3,0
full_census_317,submission_channel,recruiter_submitted,recruiter_submitted,recruiter_inbound,yes,3,0.0095,3,1
full_census_317,evidence_class,employer_artifact,employer_artifact,employer_side_proof,yes,222,0.7003,222,14
full_census_317,evidence_class,platform_log,platform_log,self_logged,yes,95,0.2997,1,0
