application_id,company_canonical,coded_discovery_source,recovery_tier,recovered_source,evidence_class
10x-genomics|unspecified|c1,10x Genomics,unknown,unrecoverable,,employer_artifact
12100-collective|seo-lead|c1,12100 Collective,wellfound,captured_at_write_time,wellfound,employer_artifact
4flow|director-go-to-market-strategy|c1,4flow,unknown,unrecoverable,,employer_artifact
4mindsai|gtm-engineer|c1,4MindsAI,unknown,recoverable_from_platform_export,linkedin,employer_artifact
90-seconds|unspecified|c1,90 Seconds,unknown,recoverable_from_platform_export,jobright,employer_artifact
adaptive6|sales-engineer|c1,Adaptive6,unknown,recoverable_from_platform_export,linkedin,employer_artifact
adapt|gtm-engineer-revops-lead|c1,Adapt,unknown,unrecoverable,,employer_artifact
ai-digital|growth-director|c1,AI Digital,ladders,captured_at_write_time,ladders,employer_artifact
aicro|gtm-engineering-team-lead|c1,AICRO,unknown,unrecoverable,,employer_artifact
airgarage|consumer-growth-hacker|c1,AirGarage,wellfound,captured_at_write_time,wellfound,employer_artifact
airops|growth-engineer|c1,AirOps,unknown,unrecoverable,,employer_artifact
airtable|gtm-engineer|c1,Airtable,unknown,unrecoverable,,employer_artifact
ambrook|business-operations-lead|c1,Ambrook,unknown,unrecoverable,,employer_artifact
ambrook|partnerships-lead|c1,Ambrook,unknown,unrecoverable,,employer_artifact
anaconda|senior-bdr|c1,Anaconda,unknown,recoverable_from_platform_export,jobright,employer_artifact
anthropic|software-engineer-business-technology|c1,Anthropic,unknown,unrecoverable,,employer_artifact
anysphere|gtm-emerging-products|c1,Anysphere,unknown,recoverable_from_platform_export,linkedin,employer_artifact
apartmentiq|unspecified|c1,ApartmentIQ,unknown,unrecoverable,,employer_artifact
apollo-io|unspecified|c1,Apollo.io,unknown,unrecoverable,,employer_artifact
appgate|gtm-engineer|c1,AppGate,unknown,recoverable_from_platform_export,linkedin,employer_artifact
applause|enterprise-sdr|c1,Applause,unknown,recoverable_from_platform_export,linkedin,employer_artifact
applied-systems|sales-enablement-gtm-readiness-lead|c1,Applied Systems,unknown,recoverable_from_platform_export,jobright,employer_artifact
armada|ai-factory-value-engineer|c1,Armada,unknown,recoverable_from_platform_export,linkedin,employer_artifact
atlanta-public-schools|unspecified|c1,Atlanta Public Schools,unknown,unrecoverable,,employer_artifact
attentive|gtm-engineer|c2,Attentive,unknown,recoverable_from_platform_export,linkedin,employer_artifact
auctane|pre-sales-engineer|c1,Auctane,unknown,recoverable_from_platform_export,linkedin,employer_artifact
automation-anywhere|sales-engineer|c1,Automation Anywhere,unknown,recoverable_from_platform_export,jobright,employer_artifact
ava-labs|growth-lead-core|c1,Ava Labs,wellfound,captured_at_write_time,wellfound,employer_artifact
axiad|unspecified|c1,Axiad,unknown,unrecoverable,,employer_artifact
axon|manager-go-to-market-readiness|c1,Axon,unknown,unrecoverable,,employer_artifact
beacon-software|unspecified|c1,Beacon Software,unknown,unrecoverable,,employer_artifact
beautiful-ai|unspecified|c1,Beautiful.ai,unknown,unrecoverable,,employer_artifact
beckhoff-automation|sales-engineer|c1,Beckhoff Automation,unknown,unrecoverable,,employer_artifact
blackthorn-io|unspecified|c1,Blackthorn.io,unknown,unrecoverable,,employer_artifact
boulevard|gtm-engineer|c1,Boulevard,unknown,unrecoverable,,employer_artifact
brand-ai|gtme|c1,Brand.ai,unknown,unrecoverable,,employer_artifact
brighthire|unspecified|c1,BrightHire,unknown,unrecoverable,,employer_artifact
built-recruiting|gtm-engineer|c1,Built Recruiting,unknown,unrecoverable,,employer_artifact
canals|sales-manager|c1,Canals,unknown,recoverable_from_platform_export,jobright,employer_artifact
circle|gtm-engineer-outbound|c1,Circle,unknown,unrecoverable,,employer_artifact
city-schools-of-decatur|unspecified|c1,City Schools Of Decatur,unknown,unrecoverable,,employer_artifact
classdojo|unspecified|c1,ClassDojo,unknown,unrecoverable,,employer_artifact
clay|growth-strategist-enterprise|c1,Clay,unknown,recoverable_from_platform_export,jobright,employer_artifact
cloudflare|gtm-engineer|c1,Cloudflare,unknown,recoverable_from_platform_export,linkedin,employer_artifact
